target_id	length	eff_length	est_counts	tpm
gene-HO397_00005	66	13.6667	44	260.94
gene-HO397_00010	2463	2860.61	1806	51.1693
gene-HO397_00015	933	844.769	348	33.3881
gene-HO397_00020	1287	1755.04	448	20.689
gene-HO397_00025	297	76.1939	241	256.358
gene-HO397_00030	777	859.805	123	11.5946
gene-HO397_00035	1431	1504.63	439	23.6475
gene-HO397_00040	954	796.748	1823	185.445
gene-HO397_00045	588	384.742	151	31.8096
gene-HO397_00050	567	333.585	188	45.6774
gene-HO397_00055	714	822.327	250	24.6403
gene-HO397_00060	405	175.881	108	49.7685
gene-HO397_00065	1917	2198.04	4770	175.886
gene-HO397_00070	1131	1021.87	463	36.7227
gene-HO397_00075	1113	1735.69	320.8	14.98
gene-HO397_00080	210	28.9544	53	148.358
gene-HO397_00085	1167	1169.1	329	22.8083
gene-HO397_00090	900	1183.5	203	13.902
gene-HO397_00095	960	752.856	263	28.3135
gene-HO397_00100	1353	1120	297	21.4925
gene-HO397_00105	1089	737.196	200	21.9886
gene-HO397_00110	698	538.628	30.2907	4.55796
gene-HO397_00115	347	119.826	161	108.9
gene-HO397_00120	264	52.4621	462	713.75
gene-HO397_00125	219	31.3362	88	227.607
gene-HO397_00130	942	889.395	486	44.2886
gene-HO397_00135	2817	4434.11	1855	33.9069
gene-HO397_00140	495	263.02	165	50.8446
gene-HO397_00145	450	220.448	182	66.9137
gene-HO397_00150	951	806.9	408	40.9818
gene-HO397_00155	915	887.549	222	20.2727
gene-HO397_00160	822	726.257	395	44.0816
gene-HO397_00165	1149	993.107	834	68.0644
gene-HO397_00170	3222	3665.75	1892	41.832
gene-HO397_00175	396	166.983	207	100.473
gene-HO397_00180	591	479.906	387	65.359
gene-HO397_00185	786	621.2	238	31.0525
gene-HO397_00190	1554	1699.93	449	21.4075
gene-HO397_00195	1217	1469.9	261	14.3914
gene-HO397_00200	1143	1149.67	303	21.3608
gene-HO397_00205	1515	2427.3	429	14.3246
gene-HO397_00210	771	1018.34	246	19.5791
gene-HO397_00215	942	766.147	80	8.46307
gene-HO397_00220	1287	1487.57	216	11.7687
gene-HO397_00225	288	69.2921	49	57.3142
gene-HO397_00230	1332	1511.94	317	16.9932
gene-HO397_00235	531	346.165	127	29.7352
gene-HO397_00240	1863	2278.21	484	17.2188
gene-HO397_00245	480	284.885	213	60.5983
gene-HO397_00250	843	828.076	358	35.0399
gene-HO397_00255	378	149.453	239	129.611
gene-HO397_00260	822	717.399	465	52.5342
gene-HO397_00265	990	949.004	398	33.9911
gene-HO397_00270	1287	1167.45	677	47.0003
gene-HO397_00275	2355	2807.9	1475	42.5755
gene-HO397_00280	816	650.869	297	36.9839
gene-HO397_00285	660	479.344	123	20.7974
gene-HO397_00290	2907	2868.65	511	14.4375
gene-HO397_00295	2352	2767.35	385	11.2758
gene-HO397_00300	696	550.946	100	14.711
gene-HO397_00305	1503	2400.13	236	7.96943
gene-HO397_00310	1701	2000.66	290	11.7483
gene-HO397_00315	879	726.834	330	36.7984
gene-HO397_00320	765	714.405	197	22.3497
gene-HO397_00325	699	551.229	182	26.7602
gene-HO397_00330	1611	2613.3	183	5.6756
gene-HO397_00335	984	879.07	199	18.3476
gene-HO397_00340	1656	1490.46	420	22.8391
gene-HO397_00345	132	33.17	83	202.807
gene-HO397_00350	1179	1028.17	287	22.624
gene-HO397_00355	606	396.902	378	77.1896
gene-HO397_00360	1401	1510.07	804	43.1528
gene-HO397_00365	1092	1162.02	478	33.3399
gene-HO397_00370	1572	1616.66	932	46.7248
gene-HO397_00375	87	13.6667	30	177.913
gene-HO397_00380	945	688.892	332	39.0604
gene-HO397_00385	1725	2111.02	1035	39.7373
gene-HO397_00390	492	326.519	255	63.2969
gene-HO397_00395	87	13.6667	10	59.3045
gene-HO397_00400	1005	819.895	819	80.961
gene-HO397_00405	459	296.367	379	103.648
gene-HO397_00410	942	1120.66	583	42.1641
gene-HO397_00415	366	137.931	192	112.821
gene-HO397_00420	1767	2267.72	624	22.3021
gene-HO397_00425	1488	1418.95	581	33.1862
gene-HO397_00430	1359	1360.32	695	41.409
gene-HO397_00435	1083	1096.05	430	31.7972
gene-HO397_00440	1317	1109.03	534	39.0254
gene-HO397_00445	1245	1362.68	402	23.9101
gene-HO397_00450	1068	948.418	581	49.6508
gene-HO397_00455	1476	1756.2	819	37.7972
gene-HO397_00460	921	682.105	512	60.8372
gene-HO397_00465	831	621.167	419	54.6708
gene-HO397_00470	1263	1212.51	774	51.7377
gene-HO397_00475	1152	1182.99	2432	166.623
gene-HO397_00480	918	678.441	2502	298.9
gene-HO397_00485	513	344.287	390	91.8108
gene-HO397_00490	2706	2756.48	1220	35.8719
gene-HO397_00495	390	267.111	340	103.166
gene-HO397_00500	198	25.6862	147	463.84
gene-HO397_00505	744	606.263	208	27.8069
gene-HO397_00510	621	404.949	161	32.2237
gene-HO397_00515	1044	1087.09	453	33.774
gene-HO397_00520	1203	1477.37	207	11.3562
gene-HO397_00525	1386	1292.62	187	11.7252
gene-HO397_00530	441	332.086	65	15.864
gene-HO397_00535	894	733.334	403	44.5403
gene-HO397_00540	552	407.471	149	29.6374
gene-HO397_00545	855	781.821	427	44.2661
gene-HO397_00550	1374	1307.35	1027	63.6691
gene-HO397_00555	765	629.788	315	40.5384
gene-HO397_00560	2664	3234.35	4489	112.49
gene-HO397_00565	1893	2311.03	2407	84.4151
gene-HO397_00570	1425	1297.78	3947	246.499
gene-HO397_00575	1854	1968.75	450	18.5256
gene-HO397_00580	2598	3009.69	8422	226.8
gene-HO397_00585	363	135.082	275	165
gene-HO397_00590	795	576.254	380	53.4466
gene-HO397_00595	867	775.111	452	47.2634
gene-HO397_00600	348	120.753	213	142.966
gene-HO397_00605	1551	1753.4	609	28.1505
gene-HO397_00610	2391	2849.69	1089	30.9728
gene-HO397_00615	537	533.47	196	29.7781
gene-HO397_00620	663	657.898	1197	147.464
gene-HO397_00625	927	718.562	463	52.2236
gene-HO397_00630	771	944.38	248	21.2841
gene-HO397_00635	441	233.769	190	65.8743
gene-HO397_00640	1230	1212	294	19.6605
gene-HO397_00645	381	152.377	419	222.866
gene-HO397_00650	903	735.145	390	42.9973
gene-HO397_00655	852	744.834	435	47.3347
gene-HO397_00660	795	1475.96	257	14.1127
