target_id	length	eff_length	est_counts	tpm
gene-HO397_00005	66	13.2	191	479.902
gene-HO397_00010	2463	2316.44	4199	60.12
gene-HO397_00015	933	728.076	1399	63.7286
gene-HO397_00020	1287	1158.44	2223	63.6443
gene-HO397_00025	297	62.1524	837	446.644
gene-HO397_00030	777	598.839	388	21.489
gene-HO397_00035	1431	1264.38	262	6.87255
gene-HO397_00040	954	665.63	8668	431.896
gene-HO397_00045	588	306.544	905	97.9152
gene-HO397_00050	567	279.435	408	48.4254
gene-HO397_00055	714	484.317	54	3.69792
gene-HO397_00060	405	125.074	25	6.62927
gene-HO397_00065	1917	1630.92	7158	145.564
gene-HO397_00070	1131	936.252	255	9.03318
gene-HO397_00075	1113	974.753	615.8	20.9526
gene-HO397_00080	210	46.1301	82	58.9553
gene-HO397_00085	1167	938.315	787	27.8176
gene-HO397_00090	900	697.805	212	10.0762
gene-HO397_00095	960	545.621	16	0.972573
gene-HO397_00100	1353	951.214	7	0.244069
gene-HO397_00105	1089	612.378	5	0.270797
gene-HO397_00110	698	428.224	35.3683	2.73928
gene-HO397_00115	347	83.5758	1	0.396838
gene-HO397_00120	264	54.4234	6579	4009.29
gene-HO397_00125	219	47.0868	100	70.436
gene-HO397_00130	942	713.852	4275	198.619
gene-HO397_00135	2817	2923.4	13822	156.811
gene-HO397_00140	495	208.286	1221	194.423
gene-HO397_00145	450	164.997	747	150.154
gene-HO397_00150	951	757.33	1468	64.2887
gene-HO397_00155	915	677.408	564	27.6135
gene-HO397_00160	822	591.421	991	55.5739
gene-HO397_00165	1149	909.337	5874	214.241
gene-HO397_00170	3222	3298.76	13391	134.634
gene-HO397_00175	396	117.702	361	101.722
gene-HO397_00180	591	311.924	43	4.57208
gene-HO397_00185	786	547.654	13	0.787282
gene-HO397_00190	1554	1401.75	99	2.34238
gene-HO397_00195	1217	1071.34	132	4.08638
gene-HO397_00200	1143	929.045	292	10.4241
gene-HO397_00205	1515	1387.99	3	0.0716851
gene-HO397_00210	771	526.151	1	0.0630352
gene-HO397_00215	942	719.606	27	1.24441
gene-HO397_00220	1287	1098.72	15	0.452792
gene-HO397_00225	288	59.9344	1	0.553372
gene-HO397_00230	1332	1151.4	17	0.489684
gene-HO397_00235	531	243.686	17	2.31372
gene-HO397_00240	1863	1827.63	162	2.93981
gene-HO397_00245	480	193.766	391	66.9256
gene-HO397_00250	843	605.57	1304	71.4178
gene-HO397_00255	378	103.812	612	195.522
gene-HO397_00260	822	583.563	3060	173.911
gene-HO397_00265	990	778.45	2331	99.3128
gene-HO397_00270	1287	1027.53	4388	141.633
gene-HO397_00275	2355	2089.25	8569	136.029
gene-HO397_00280	816	517.445	668	42.8159
gene-HO397_00285	660	421.158	374	29.4523
gene-HO397_00290	2907	2734.66	1291	15.6573
gene-HO397_00295	2352	2340.88	941	13.3323
gene-HO397_00300	696	447.173	11	0.81585
gene-HO397_00305	1503	1411.12	110	2.58537
gene-HO397_00310	1701	1675.73	36	0.712511
gene-HO397_00315	879	655.66	255	12.899
gene-HO397_00320	765	540.828	550	33.7285
gene-HO397_00325	699	490.782	242	16.3538
gene-HO397_00330	1611	1574.56	242	5.0974
gene-HO397_00335	984	748.076	308	13.6552
gene-HO397_00340	1656	1468.47	166	3.74919
gene-HO397_00345	132	30.0407	409	451.55
gene-HO397_00350	1179	894.65	295	10.9361
gene-HO397_00355	606	334.529	162	16.0611
gene-HO397_00360	1401	1274.46	244	6.34976
gene-HO397_00365	1092	851.347	153	5.96044
gene-HO397_00370	1572	1351	256	6.28462
gene-HO397_00375	87	19.7451	3	5.03913
gene-HO397_00380	945	570.258	90	5.23437
gene-HO397_00385	1725	1596.07	367	7.62617
gene-HO397_00390	492	205.395	152	24.5441
gene-HO397_00395	87	19.7451	0	0
gene-HO397_00400	1005	742.665	2112	94.318
gene-HO397_00405	459	173.562	1932	369.188
gene-HO397_00410	942	812.789	2639	107.685
gene-HO397_00415	366	95.2198	438	152.56
gene-HO397_00420	1767	1652.22	2276	45.6876
gene-HO397_00425	1488	1299.34	3222	82.2424
gene-HO397_00430	1359	1159.82	2544	72.7479
gene-HO397_00435	1083	848.867	1117	43.6423
gene-HO397_00440	1317	1036.85	2621	83.8386
gene-HO397_00445	1245	1012.27	1895	62.0876
gene-HO397_00450	1068	878.312	2027	76.5418
gene-HO397_00455	1476	1354.87	3630	88.8594
gene-HO397_00460	921	603.849	2208	121.273
gene-HO397_00465	831	542.371	1887	115.39
gene-HO397_00470	1263	997.965	3447	114.556
gene-HO397_00475	1152	894.677	5795	214.823
gene-HO397_00480	918	615.488	15951	859.532
gene-HO397_00485	513	225.917	1908	280.106
gene-HO397_00490	2706	2554.74	12726	165.211
gene-HO397_00495	390	112.936	635	186.481
gene-HO397_00500	198	43.5344	231	175.984
gene-HO397_00505	744	474.282	565	39.5098
gene-HO397_00510	621	316.716	364	38.1175
gene-HO397_00515	1044	796.769	1156	48.1193
gene-HO397_00520	1203	964.907	145	4.98398
gene-HO397_00525	1386	1112.95	371	11.0558
gene-HO397_00530	441	156.649	42	8.89232
gene-HO397_00535	894	645.285	1768	90.8708
gene-HO397_00540	552	264.523	603	75.6046
gene-HO397_00545	855	581.335	427	24.361
gene-HO397_00550	1374	1079.66	756	23.2236
gene-HO397_00555	765	562.635	11766	693.579
gene-HO397_00560	2664	2576.53	60189	774.773
gene-HO397_00565	1893	1830.88	26439	478.938
gene-HO397_00570	1425	1138.42	23081	672.427
gene-HO397_00575	1854	1664.88	223	4.44238
gene-HO397_00580	2598	2521.41	17920	235.716
gene-HO397_00585	363	93.3741	728	258.582
gene-HO397_00590	795	492.353	2033	136.948
gene-HO397_00595	867	593.729	2293	128.088
gene-HO397_00600	348	84.1617	564	222.258
gene-HO397_00605	1551	1351.54	670	16.4414
gene-HO397_00610	2391	2303.92	6706	96.536
gene-HO397_00615	537	249.625	1992	264.664
gene-HO397_00620	663	375.161	4596	406.308
gene-HO397_00625	927	595.63	1400	77.9551
gene-HO397_00630	771	589.456	801	45.0687
gene-HO397_00635	441	156.649	189	40.0154
gene-HO397_00640	1230	911.822	605	22.0059
gene-HO397_00645	381	106.047	1182	369.67
gene-HO397_00650	903	600.856	183	10.1012
gene-HO397_00655	852	582.946	929	52.8544
gene-HO397_00660	795	684.854	671	32.4951
gene-HO397_00665	1239	759.566	17	0.742296
gene-HO397_00670	597	309.287	8	0.857871
gene-HO397_00675	606	318.263	13	1.35472
gene-HO397_00680	570	282.413	11	1.29182
gene-HO397_00685	2598	2042.41	59	0.958083
gene-HO397_00690	741	391.691	26	2.20152
gene-HO397_00695	585	297.363	51	5.68823
gene-HO397_00700	480	193.766	123	21.0533
gene-HO397_00705	1419	1304.56	3320	84.405
gene-HO397_00710	927	689.002	265	12.7561
gene-HO397_00715	456	170.709	3136	609.275
gene-HO397_00720	705	406.038	1488	121.543
gene-HO397_00725	531	346.42	244	23.3604
gene-HO397_00730	2430	2357.74	1521	21.3957
gene-HO397_00735	2535	2446.74	2388	32.3698
gene-HO397_00740	435	151.11	114	25.021
gene-HO397_00745	1229	940.997	0	0
gene-HO397_00750	1812	1557.41	1094	23.2974
gene-HO397_00755	798	646.403	165	8.46592
gene-HO397_00760	891	637.097	101	5.25787
gene-HO397_00765	1983	2108.7	325	5.11165
gene-HO397_00770	1281	1135.24	2883	84.227
gene-HO397_00775	1422	1320.9	801	20.1121
gene-HO397_00780	66	13.2	5	12.5629
