target_id	length	eff_length	est_counts	tpm
gene-HO397_00005	66	22.5714	44	252.476
gene-HO397_00010	2463	2314.91	1925	107.702
gene-HO397_00015	933	756.035	886	151.781
gene-HO397_00020	1287	1111.87	985	114.738
gene-HO397_00025	297	106.422	127	154.56
gene-HO397_00030	777	532.934	112	27.2189
gene-HO397_00035	1431	1372.69	50	4.71763
gene-HO397_00040	954	709.563	2407	439.351
gene-HO397_00045	588	353.603	189	69.2265
gene-HO397_00050	567	392.164	145	47.888
gene-HO397_00055	714	491.73	19	5.00442
gene-HO397_00060	405	201.803	1	0.6418
gene-HO397_00065	1917	1630.83	41898	3327.46
gene-HO397_00070	1131	958.779	4338	586
gene-HO397_00075	1113	1063.55	781.6	95.1813
gene-HO397_00080	210	47.8624	38	102.829
gene-HO397_00085	1167	1015.13	225	28.707
gene-HO397_00090	900	666.651	69	13.4053
gene-HO397_00095	960	527.008	11	2.70335
gene-HO397_00100	1353	960.195	7	0.944203
gene-HO397_00105	1089	592.073	2	0.437504
gene-HO397_00110	698	505.683	74.6657	19.1236
gene-HO397_00115	347	148.663	1	0.871212
gene-HO397_00120	264	81.0058	383	612.364
gene-HO397_00125	219	52.5658	23	56.6697
gene-HO397_00130	942	751.291	1663	286.689
gene-HO397_00135	2817	2845.69	13885	631.954
gene-HO397_00140	495	301.773	767	329.186
gene-HO397_00145	450	254.863	727	369.448
gene-HO397_00150	951	836.158	2871	444.704
gene-HO397_00155	915	719.429	333	59.9491
gene-HO397_00160	822	675.275	224	42.9629
gene-HO397_00165	1149	980.687	2011	265.588
gene-HO397_00170	3222	3129.25	6737	278.839
gene-HO397_00175	396	193.404	19	12.7237
gene-HO397_00180	591	437.884	20	5.91559
gene-HO397_00185	786	584.186	6	1.33023
gene-HO397_00190	1554	1401.44	42	3.88151
gene-HO397_00195	1217	1056.05	46	5.6416
gene-HO397_00200	1143	1039.86	25	3.11382
gene-HO397_00205	1515	1594.21	2	0.162484
gene-HO397_00210	771	572.473	7	1.58369
gene-HO397_00215	942	753.072	16	2.75176
gene-HO397_00220	1287	1110.5	11	1.28293
gene-HO397_00225	288	99.2331	2	2.61036
gene-HO397_00230	1332	1270.91	15	1.52863
gene-HO397_00235	531	330.812	10	3.91512
gene-HO397_00240	1863	1744.33	112	8.31601
gene-HO397_00245	480	256.82	100	50.431
gene-HO397_00250	843	702.941	373	68.7253
gene-HO397_00255	378	207.052	299	187.033
gene-HO397_00260	822	615.391	1263	265.815
gene-HO397_00265	990	834.583	776	120.426
gene-HO397_00270	1287	1045.45	1730	214.324
gene-HO397_00275	2355	2212.44	3653	213.848
gene-HO397_00280	816	607.669	61	13.0014
gene-HO397_00285	660	530.078	408	99.689
gene-HO397_00290	2907	2632.22	1424	70.0672
gene-HO397_00295	2352	2262.91	418	23.9241
gene-HO397_00300	696	551.057	13	3.05544
gene-HO397_00305	1503	1462.26	32	2.83434
gene-HO397_00310	1701	1648.01	36	2.82925
gene-HO397_00315	879	750.147	518	89.4356
gene-HO397_00320	765	573.147	163	36.8339
gene-HO397_00325	699	521.749	124	30.7813
gene-HO397_00330	1611	1549.97	144	12.0327
gene-HO397_00335	984	790.974	299	48.9594
gene-HO397_00340	1656	1589.26	314	25.5895
gene-HO397_00345	132	16.8454	26	199.903
gene-HO397_00350	1179	895.487	81	11.7153
gene-HO397_00355	606	381.973	148	50.183
gene-HO397_00360	1401	1308.44	364	36.0307
gene-HO397_00365	1092	953.234	219	29.7558
gene-HO397_00370	1572	1352.58	183	17.5233
gene-HO397_00375	87	13.25	1	9.77487
gene-HO397_00380	945	570.829	29	6.57989
gene-HO397_00385	1725	1765.71	166	12.1763
gene-HO397_00390	492	274.415	88	41.5338
gene-HO397_00395	87	13.25	0	0
gene-HO397_00400	1005	809.835	403	64.4518
gene-HO397_00405	459	228.341	697	395.344
gene-HO397_00410	942	839.798	991	152.836
gene-HO397_00415	366	165.763	400	312.535
gene-HO397_00420	1767	1645.22	1279	100.687
gene-HO397_00425	1488	1335.64	1193	115.685
gene-HO397_00430	1359	1203.21	1169	125.835
gene-HO397_00435	1083	966.535	773	103.583
gene-HO397_00440	1317	1066.69	1262	153.231
gene-HO397_00445	1245	1049.25	1658	204.661
gene-HO397_00450	1068	980.171	934	123.416
